"    All people","(X)","5.9%","(X)","11.9%","(X)","18.9%","(X)","21.0%","(X)","20.7%","(X)","21.6%","(X)","10.8%","(X)","24.1%","(X)","35.0%","(X)","34.9%","(X)","30.0%","(X)","38.4%"
"    Under 18 years","(X)","3.3%","(X)","0.0%","(X)","32.5%","(X)","18.3%","(X)","24.1%","(X)","43.0%","(X)","13.0%","(X)","37.8%","(X)","50.0%","(X)","48.2%","(X)","31.0%","(X)","35.2%"
"        Related children of the householder under 18 years","(X)","3.3%","(X)","0.0%","(X)","32.5%","(X)","18.3%","(X)","24.1%","(X)","39.0%","(X)","13.0%","(X)","37.8%","(X)","49.7%","(X)","48.2%","(X)","30.4%","(X)","35.2%"
"            Related children of the householder under 5 years","(X)","0.0%","(X)","0.0%","(X)","25.7%","(X)","22.0%","(X)","12.3%","(X)","23.0%","(X)","0.0%","(X)","24.9%","(X)","49.6%","(X)","45.9%","(X)","21.9%","(X)","56.6%"
"            Related children of the householder 5 to 17 years","(X)","5.1%","(X)","0.0%","(X)","37.8%","(X)","16.9%","(X)","28.5%","(X)","43.9%","(X)","18.4%","(X)","44.7%","(X)","49.7%","(X)","49.1%","(X)","33.9%","(X)","30.0%"
"    18 years and over","(X)","6.2%","(X)","13.4%","(X)","17.3%","(X)","21.4%","(X)","19.7%","(X)","17.8%","(X)","10.3%","(X)","21.6%","(X)","31.3%","(X)","29.8%","(X)","29.8%","(X)","38.7%"
"    18 to 64 years","(X)","5.5%","(X)","12.6%","(X)","14.8%","(X)","22.2%","(X)","20.3%","(X)","17.9%","(X)","11.6%","(X)","23.2%","(X)","33.8%","(X)","31.0%","(X)","29.6%","(X)","38.9%"
"    65 years and over","(X)","11.3%","(X)","18.0%","(X)","26.9%","(X)","15.8%","(X)","8.6%","(X)","17.3%","(X)","2.3%","(X)","8.5%","(X)","10.6%","(X)","20.8%","(X)","31.3%","(X)","38.0%"
"    People in families","(X)","4.0%","(X)","1.5%","(X)","16.1%","(X)","17.8%","(X)","16.1%","(X)","20.9%","(X)","8.0%","(X)","23.2%","(X)","33.4%","(X)","33.2%","(X)","27.9%","(X)","37.3%"
"    Unrelated individuals 15 years and over","(X)","8.6%","(X)","23.3%","(X)","21.9%","(X)","26.2%","(X)","34.7%","(X)","23.6%","(X)","16.7%","(X)","26.5%","(X)","40.6%","(X)","46.3%","(X)","45.8%","(X)","40.0%"
