N/A,Is an Opportunity Zone,Census Tract FIPS code,County,State,Year,Inclusive Growth Score,Growth,Inclusion,Place,Place Growth,Place Inclusion,Net Occupancy Score,"Net Occupancy Base, %","Net Occupancy Tract, %",Residential Real Estate Value Score,"Residential Real Estate Value Base, %","Residential Real Estate Value Tract, %",Acres of Park Land Score,"Acres of Park Land Base, %","Acres of Park Land Tract, %",Affordable Housing Score,"Affordable Housing Base, %","Affordable Housing Tract, %",Internet Access Score,"Internet Access Base, %","Internet Access Tract, %",Travel Time to Work Score,"Travel Time to Work Base, %","Travel Time to Work Tract, %",Economy,Economy Growth,Economy Inclusion,New Businesses Score,"New Businesses Base, %","New Businesses Tract, %",Spend Growth Score,"Spend Growth Base, %","Spend Growth Tract, %",Small Business Loans Score,"Small Business Loans Base, %","Small Business Loans Tract, %",Minority/Women Owned Businesses Score,"Minority/Women Owned Businesses Base, %","Minority/Women Owned Businesses Tract, %",Labor Market Engagement Index Score,Labor Market Engagement Index Base,Labor Market Engagement Index Tract,Commercial Diversity Score,"Commercial Diversity Base, %","Commercial Diversity Tract, %",Community,Community Growth,Community Inclusion,Personal Income Score,"Personal Income Base, %","Personal Income Tract, %",Spending per Capita Score,"Spending per Capita Base, %","Spending per Capita Tract, %",Female Above Poverty Score,"Female Above Poverty Base, %","Female Above Poverty Tract, %",Gini Coefficient Score,Gini Coefficient Base,Gini Coefficient Tract,Early Education Enrollment Score,"Early Education Enrollment Base, %","Early Education Enrollment Tract, %",Health Insurance Coverage Score,"Health Insurance Coverage Base, %","Health Insurance Coverage Tract, %"
56,N/A,06001405800,Alameda County,California,2019,36,41,31,48,58,38,69,1.8,7.9,46,16.5,16.7,44,4.1,3.4,9,72.5,58.7,42,83.9,81.3,56,56.5,59,36,35,37,51,13.7,23.1,N/A,N/A,N/A,19,8.6,-12.9,76,4,6.2,27,60,35,7,20.1,9.8,24,31,18,31,9.2,5.4,N/A,N/A,N/A,11,87,64.7,18,41.6,47.9,19,25.3,13.7,22,93.3,88.5
57,N/A,06001405800,Alameda County,California,2020,42,55,29,53,70,36,73,1.5,9.3,66,25.2,58.4,44,4.1,3.4,6,72.8,57,41,84.9,82.1,54,55.8,57.5,51,67,35,59,7.4,25,N/A,N/A,N/A,75,8.1,63,72,3.4,5,27,61,35,6,20.6,9.1,22,27,17,27,12.2,6.4,N/A,N/A,N/A,12,87.5,67,19,41.6,47.5,20,25.4,14.1,16,94.2,88.3
58,N/A,06001405800,Alameda County,California,2021,40,45,36,49,58,40,52,0,0.4,63,25.7,56.4,44,4.1,3.4,17,73.3,62.9,52,89.1,89.5,49,55.6,55.1,29,29,29,35,5.3,5,N/A,N/A,N/A,23,7.1,-11.4,47,5,4.8,35,59,44,6,20.6,9.5,43,48,38,48,13.8,16.6,N/A,N/A,N/A,26,88.8,79.7,22,41.3,46.7,94,27.5,62.3,9,95,85.4
59,N/A,06001405800,Alameda County,California,2022,42,48,36,44,53,35,33,-0.3,-6.7,73,31.6,108.2,44,4.1,3.4,12,72.9,59.8,40,90.6,88.4,45,56.3,54.3,34,30,37,8,-15,-33.3,N/A,N/A,N/A,52,17.9,25.6,68,5.1,7.1,37,60,46,5,21.2,9.7,48,60,37,60,14.5,24.4,N/A,N/A,N/A,24,88.8,79.1,23,41.3,46.5,90,27.4,55.1,11,94.9,86.7
60,N/A,06001405401,Alameda County,California,2017,43,53,33,54,62,47,61,2.1,5.1,63,-0.4,21.9,88,4.1,16.1,43,71.2,69.4,23,82.9,71.5,34,57.6,51.2,44,66,23,56,5.9,14.3,76,N/A,N/A,65,5.7,24.4,16,4,2,29,59,36,24,20.1,14.8,30,31,28,33,3.3,0.6,29,N/A,N/A,19,86.3,70.2,34,41.3,43.9,56,25.5,27.7,4,91.2,76.7
61,N/A,06001405401,Alameda County,California,2018,42,50,34,48,51,46,35,2.1,-1.7,67,5.4,43.5,88,4.1,16.1,41,72,69.8,23,82.9,71.5,34,57,50.7,42,60,25,56,5.9,14.3,69,N/A,N/A,55,1.6,7.8,16,4,2,34,60,42,24,20.1,14.8,35,40,30,44,5.7,7,36,N/A,N/A,22,86.6,73.5,53,41.5,41,41,25.5,22.1,5,92.3,79.6
62,N/A,06001405401,Alameda County,California,2019,45,53,37,46,48,45,27,1.8,-4.6,70,16.5,83.4,88,4.1,16.1,34,72.5,68.5,25,83.9,74.4,33,56.5,49.6,41,55,27,73,13.7,53.1,58,N/A,N/A,33,8.6,0,16,4,2,42,60,52,24,20.1,14.8,46,55,38,64,9.2,20.5,46,N/A,N/A,27,87,77.1,63,41.6,39.6,49,25.3,24.9,15,93.3,86.3
63,N/A,06001405401,Alameda County,California,2020,45,42,48,42,42,43,22,1.5,-8,61,25.2,57.6,88,4.1,16.1,27,72.8,66.7,26,84.9,76.1,31,55.8,48,42,32,53,11,7.4,-18.4,64,N/A,N/A,22,8.1,-9.1,72,3.4,5,51,61,62,35,20.6,17.6,50,52,49,72,12.2,36.1,31,N/A,N/A,34,87.5,81.8,61,41.6,40,66,25.4,31.5,35,94.2,92.1
64,N/A,06001405401,Alameda County,California,2021,48,46,50,38,36,41,28,0,-8.5,44,25.7,29.4,88,4.1,16.1,31,73.3,67.9,26,89.1,82.3,18,55.6,41.3,54,50,57,69,5.3,25,22,N/A,N/A,59,7.1,20,60,5,6,80,59,85,32,20.6,16.9,52,52,53,73,13.8,49.9,32,N/A,N/A,53,88.8,89.5,27,41.3,45.5,71,27.5,37.9,60,95,96
65,N/A,06001405401,Alameda County,California,2022,42,41,44,37,32,42,30,-0.3,-9.2,33,31.6,20.3,88,4.1,16.1,37,72.9,69.5,27,90.6,84.8,14,56.3,39,44,45,44,75,-15,116,15,N/A,N/A,46,17.9,18.3,21,5.1,2.8,76,60,82,36,21.2,18.4,46,45,46,73,14.5,56.2,17,N/A,N/A,41,88.8,86.4,20,41.3,47.4,85,27.4,48.7,36,94.9,93
