"    All people","(X)","5.9%","(X)","11.7%","(X)","13.4%","(X)","16.0%","(X)","17.9%","(X)","17.3%","(X)","10.8%","(X)","20.6%","(X)","27.4%","(X)","28.0%","(X)","23.3%","(X)","19.0%"
"        Under 18 years","(X)","5.1%","(X)","15.1%","(X)","24.0%","(X)","7.0%","(X)","14.2%","(X)","20.8%","(X)","15.3%","(X)","32.7%","(X)","35.8%","(X)","40.7%","(X)","22.9%","(X)","15.0%"
"            Related children of the householder under 18 years","(X)","5.1%","(X)","15.1%","(X)","24.0%","(X)","7.0%","(X)","14.2%","(X)","20.8%","(X)","15.3%","(X)","32.7%","(X)","35.1%","(X)","40.7%","(X)","22.9%","(X)","15.0%"
"                Related children of the householder under 5 years","(X)","0.0%","(X)","13.4%","(X)","0.0%","(X)","0.0%","(X)","24.3%","(X)","5.4%","(X)","8.9%","(X)","0.0%","(X)","25.7%","(X)","53.5%","(X)","30.0%","(X)","24.2%"
"                Related children of the householder 5 to 17 years","(X)","8.4%","(X)","16.3%","(X)","39.8%","(X)","9.5%","(X)","9.7%","(X)","28.9%","(X)","18.2%","(X)","41.1%","(X)","37.5%","(X)","34.9%","(X)","19.3%","(X)","13.5%"
"        18 years and over","(X)","6.0%","(X)","11.3%","(X)","12.4%","(X)","17.4%","(X)","18.8%","(X)","16.8%","(X)","10.1%","(X)","18.5%","(X)","25.2%","(X)","24.0%","(X)","23.4%","(X)","19.6%"
"            18 to 64 years","(X)","5.9%","(X)","9.5%","(X)","10.3%","(X)","16.3%","(X)","18.1%","(X)","16.4%","(X)","10.5%","(X)","19.8%","(X)","26.5%","(X)","24.1%","(X)","22.0%","(X)","17.2%"
"            65 years and over","(X)","6.5%","(X)","23.2%","(X)","20.8%","(X)","25.1%","(X)","27.9%","(X)","18.8%","(X)","7.1%","(X)","7.3%","(X)","17.3%","(X)","22.9%","(X)","30.4%","(X)","32.1%"
"        People in families","(X)","2.7%","(X)","8.8%","(X)","10.8%","(X)","13.1%","(X)","13.8%","(X)","15.8%","(X)","9.9%","(X)","17.4%","(X)","25.8%","(X)","25.9%","(X)","19.7%","(X)","16.5%"
"        Unrelated individuals 15 years and over","(X)","10.2%","(X)","14.4%","(X)","16.4%","(X)","20.2%","(X)","28.2%","(X)","21.1%","(X)","12.7%","(X)","28.0%","(X)","33.4%","(X)","41.1%","(X)","41.3%","(X)","24.5%"
